,;gram;pu;P;1
dromo;adj;;CCVCV;134857
drusa;adj;;CCVCV;134862
duroc;nom;;CVCVC;134899
duzia;nom;;CVCVV;134906
dykes;nom;;CVCVC;134908
earth;nom;;VVCCC;134916
efebo;nom;;VCVCV;134980
eiras;nom;;VVCVC;135013
eleas;adj;;VCVVC;135034
ellas;nom;;VCCVC;135105
elmos;nom;;VCCVC;135107
emata;nom;;VCVCV;135141
empto;adj;;VCCCV;135341
em-si;gram;ec+pers;VC-CV;135355
éneas;adj;;VCVVC;135575
êneos;adj;;VCVVC;135578
enhos;nom;;VCCVC;135730
ental;nom;;VCCVC;135846
entre;nom;;VCCCV;135911
epadu;nom;;VCVCV;136037
epóca;nom;;VCVCV;136055
érbio;nom;;VCCVV;136105
ergeu;adj;;VCCVV;136115
escol;nom;;VCCVC;136225
esgar;nom;;VCCVC;136328
estoy;nom;;VCCVV;136672
estre;nom;;VCCCV;136688
estwa;adj;;VCCCV;136734
etaxa;nom;;VCVCV;136750
étimo;nom;;VCVCV;136765
etudo;adj;;VCVCV;136774
ex-de;gram;ec+prp;VC-CV;136978
ex-dj;nom;;VC-CC;136983
ex-fã;nom;;VC-CV;137019
ex-la;nom;;VC-CV;137080
éxons;nom;;VCVCC;137114
explo;nom;;VCCCV;137187
expõs;nom;;VCCVC;137219
ex-tv;nom;;VC-CC;137372
faits;nom;;CVVCC;137431
falda;nom;;CVCCV;137446
falls;nom;;CVCCC;137461
farta;adv;;CVCCV;137539
fazê-;nom;;CVCV-;137580
felás;nom;;CVCVC;137619
fiado;nom;;CVVCV;137707
fiero;nom;;CVVCV;137735
fifty;nom;;CVCCV;137736
filar;ver;;CVCVC;137750
files;nom;;CVCVC;137752
films;nom;;CVCCC;137775
fimdo;adj;;CVCCV;137793
fim-y;nom;;CVC-V;137795
finor;nom;;CVCVC;137829
flans;nom;;CCVCC;137892
flick;nom;;CCVCC;137915
floor;nom;;CCVVC;137918
flops;nom;;CCVCC;137921
fluid;nom;;CCVVC;137941
flyer;nom;;CCVVC;137952
focas;adj;;CVCVC;137964
foias;nom;;CVVVC;137979
folks;adj;;CVCCC;138002
fondo;nom;;CVCCV;138012
fonds;nom;;CVCCC;138014
fosca;nom;;CVCCV;138098
fossé;nom;;CVCCV;138105
frequ;nom;;CCVCV;138217
froon;nom;;CCVVC;138262
fumês;nom;;CVCVC;138325
funis;nom;;CVCVC;138359
furna;nom;;CVCCV;138373
gador;nom;;CVCVC;138403
gados;nom;;CVCVC;138404
gagos;nom;;CVCVC;138405
galas;adj;;CVCVC;138414
gamay;nom;;CVCVV;138448
gamba;nom;;CVCCV;138449
gande;nom;;CVCCV;138457
gauss;nom;;CVVCC;138520
gazua;nom;;CVCVV;138527
gerra;nom;;CVCCV;138598
gigot;nom;;CVCVC;138613
gírio;adj;;CVCVV;138629
given;nom;;CVCVC;138633
godês;nom;;CVCVC;138671
going;nom;;CVVCC;138675
gomil;nom;;CVCVC;138688
goods;nom;;CVVCC;138695
gotic;nom;;CVCVC;138721
goyim;nom;;CVVVC;138739
graca;nom;;CCVCV;138749
grau1;nom;;CCVVN;138813
graxo;adj;;CCVCV;138832
great;nom;;CCVVC;138834
grelo;nom;;CCVCV;138840
grnde;nom;;CCCCV;138868
guaçu;adj;;CVVCV;138887
guapa;adj;;CVVCV;138895
guess;nom;;CVVCC;138938
guria;nom;;CVCVV;138963
gusto;adj;;CVCCV;138967
haber;nom;;CVCVC;138970
hacer;ver;;CVCVC;138986
ha-ha;nom;;CV-CV;138990
halle;nom;;CVCCV;138996
halls;nom;;CVCCC;138997
halos;nom;;CVCVC;139000
hausa;adj;;CVVCV;139031
heaps;nom;;CVVCC;139042
hegde;nom;;CVCCV;139051
hejab;nom;;CVCVC;139055
hiena;nom;;CVVCV;139134
hiere;nom;;CVVCV;139138
hiper;nom;;CVCVC;139153
hojes;nom;;CVCVC;139230
homes;adj;;CVCVC;139261
hopis;nom;;CVCVC;139293
horqa;adj;;CVCCV;139301
human;nom;;CVCVC;139352
humas;gram;det;CVCVC;139357
huris;nom;;CVCVC;139363
hydor;nom;;CVCVC;139366
ibase;nom;;VCVCV;139378
ibero;nom;;VCVCV;139380
idáde;nom;;VCVCV;139396
ídala;nom;;VCVCV;139399
ídalo;nom;;VCVCV;139400
idear;ver;;VCVVC;139405
idéis;adj;;VCVVC;139410
ídola;nom;;VCVCV;139424
ieste;adj;;VVCCV;139430
igapê;nom;;VCVCV;139435
ilhão;nom;;VCCVV;139460
inçio;nom;;VCCVV;139753
indio;nom;;VCCVV;139906
ínico;nom;;VCVCV;140104
in-su;gram;ec+ec;VC-CV;140235
intro;gram;ec;VCCCV;140468
ínvés;nom;;VCCVC;140535
issso;nom;;VCCCV;140646
ivoca;nom;;VCVCV;140660
jacas;nom;;CVCVC;140672
jacus;nom;;CVCVC;140679
jerez;nom;;CVCVC;140720
joana;adj;;CVVCV;140734
jogad;nom;;CVCVC;140738
judéu;adj;;CVCVV;140775
judex;nom;;CVCVC;140777
juego;adj;;CVVCV;140784
kabir;ver;;CVCVC;140830
kajal;adj;;CVCVC;140836
karma;adj;;CVCCV;140841
kilos;nom;;CVCVC;140855
kinks;nom;;CVCCC;140858
knows;nom;;CCVCC;140868
koala;nom;;CVVCV;140870
kudus;nom;;CVCVC;140881
label;nom;;CVCVC;140916
lagno;adj;;CVCCV;140947
la-lá;gram;pers+adv;CV-CV;140956
lá-lá;adv;;CV-CV;140957
lapão;nom;;CVCVV;141008
lassa;adj;;CVCCV;141026
latex;nom;;CVCVC;141044
ldeir;ver;;CCVVC;141079
learn;nom;;CVVCC;141084
ledos;adj;;CVCVC;141087
legen;nom;;CVCVC;141097
lenir;ver;;CVCVC;141152
lerda;adj;;CVCCV;141165
lesta;adj;;CVCCV;141176
leurs;nom;;CVVCC;141195
lhano;adj;;CCVCV;141227
licra;nom;;CVCCV;141277
licts;nom;;CVCCC;141278
lígua;nom;;CVCVV;141302
linah;nom;;CVCVC;141332
linea;adj;;CVCVV;141340
lineu;adj;;CVCVV;141342
livra;gram;in;CVCCV;141411
llamo;adj;;CCVCV;141438
llegó;nom;;CCVCV;141441
llevó;nom;;CCVCV;141443
lobas;nom;;CVCVC;141448
locos;nom;;CVCVC;141473
loros;nom;;CVCVC;141513
louçã;adj;;CVVCV;141522
loves;nom;;CVCVC;141533
luana;adj;;CVVCV;141538
luaus;nom;;CVVVC;141541
lutos;nom;;CVCVC;141579
luxor;nom;;CVCVC;141581
luz85;nom;;CVCNN;141585
maças;nom;;CVCVC;141611
mâché;nom;;CVCCV;141620
macht;nom;;CVCCC;141624
maçon;nom;;CVCVC;141630
mafic;nom;;CVCVC;141672
mafuá;nom;;CVCVV;141674
mains;nom;;CVVCC;141710
maio-;nom;;CVVV-;141711
malis;nom;;CVCVC;141758
manat;nom;;CVCVC;141803
mantô;nom;;CVCCV;141886
maqui;nom;;CVCVV;141907
marau;nom;;CVCVV;141919
mário;nom;;CVCVV;141965
marte;nom;;CVCCV;141989
matém;nom;;CVCVC;142050
mates;adj;;CVCVC;142066
matin;nom;;CVCVC;142067
meado;gram;prp;CVVCV;142111
meado;nom;;CVVCV;142112
meato;nom;;CVVCV;142115
meets;nom;;CVVCC;142176
megas;adj;;CVCVC;142204
meiso;nom;;CVVCV;142232
mejor;nom;;CVCVC;142233
melts;nom;;CVCCC;142261
memes;nom;;CVCVC;142265
menas;adj;;CVCVC;142276
merde;nom;;CVCCV;142332
mesão;nom;;CVCVV;142360
mesme;nom;;CVCCV;142369
mesno;nom;;CVCCV;142371
metiê;nom;;CVCVV;142440
metil;adj;;CVCVC;142441
metrê;nom;;CVCCV;142447
midas;adj;;CVCVC;142525
mídis;adj;;CVCVC;142529
miles;nom;;CVCVC;142550
mimeo;adj;;CVCVV;142576
min04;nom;;CVCNN;142584
min07;nom;;CVCNN;142585
min10;nom;;CVCNN;142587
min24;nom;;CVCNN;142592
min29;nom;;CVCNN;142594
min31;nom;;CVCNN;142595
min32;nom;;CVCNN;142597
min38;nom;;CVCNN;142598
min49;nom;;CVCNN;142602
min50;nom;;CVCNN;142603
minor;nom;;CVCVC;142680
mirra;nom;;CVCCV;142708
mores;adj;;CVCVC;142955
môsca;nom;;CVCCV;142979
motta;adj;;CVCCV;143020
mouse;num;;CVVCV;143023
mouth;nom;;CVVCC;143027
móvil;adj;;CVCVC;143035
movió;nom;;CVCVV;143044
mucha;adj;;CVCCV;143049
mujer;nom;;CVCVC;143067
mulos;nom;;CVCVC;143083
múlti;gram;ec;CVCCV;143085
mulus;nom;;CVCVC;143132
murió;nom;;CVCVV;143158
musak;nom;;CVCVC;143162
mútua;nom;;CVCVV;143192
mutum;nom;;CVCVC;143196
mylon;nom;;CVCVC;143199
nabos;nom;;CVCVC;143202
nada-;nom;;CVCV-;143207
nadia;nom;;CVCVV;143214
najas;nom;;CVCVC;143220
nalma;adj;;CVCCV;143223
namão;adj;;CVCVV;143224
nambi;nom;;CVCCV;143225
names;nom;;CVCVC;143226
nandu;nom;;CVCCV;143233
nappe;nom;;CVCCV;143417
nasal;nom;;CVCVC;143437
ncube;nom;;CCVCV;143475
necas;nom;;CVCVC;143484
necks;nom;;CVCCC;143494
nédio;adj;;CVCVV;143502
nenês;nom;;CVCVC;143537
néons;nom;;CVVCC;143571
névea;adj;;CVCVV;143622
nimbú;nom;;CVCCV;143648
nímio;adj;;CVCVV;143649
nimmt;nom;;CVCCC;143650
nitro;nom;;CVCCV;143663
nmais;nom;;CCVVC;143671
nocão;nom;;CVCVV;143685
noirs;nom;;CVVCC;143695
nomos;nom;;CVCVC;143717
nota-;nom;;CVCV-;143761
nubas;nom;;CVCVC;143804
nueva;nom;;CVVCV;143819
nxero;nom;;CCVCV;143848
oágio;nom;;VVCVV;143854
obrar;ver;;VCCVC;143895
obser;nom;;VCCVC;143921
ocean;nom;;VCVVC;143961
ômica;adj;;VCVCV;144127
omros;nom;;VCCVC;144136
onion;nom;;VCVVC;144157
oonde;nom;;VVCCV;144169
opado;adj;;VCVCV;144174
opcão;nom;;VCCVV;144178
orago;nom;;VCVCV;144242
orson;nom;;VCCVC;144317
osgas;nom;;VCCVC;144338
óssis;adj;;VCCVC;144345
outas;nom;;VVCVC;144380
outos;nom;;VVCVC;144387
outra;adj;;VVCCV;144388
ovina;adj;;VCVCV;144414
ovino;adj;;VCVCV;144415
ozone;nom;;VCVCV;144428
ozono;nom;;VCVCV;144429
p.ex.;adv;;CPVCP;144432
paiar;adj;;CVVVC;144472
pais-;nom;;CVVC-;144486
paísa;adj;;CVVCV;144487
panca;nom;;CVCCV;144543
pando;adj;;CVCCV;144548
paolo;nom;;CVVCV;144582
papão;nom;;CVCVV;144588
pargo;nom;;CVCCV;144701
parka;nom;;CVCCV;144705
pasan;nom;;CVCVC;144757
passu;nom;;CVCCV;144792
patim;nom;;CVCVC;144824
pecan;nom;;CVCVC;144881
peços;nom;;CVCVC;144899
pedço;nom;;CVCCV;144918
pegas;nom;;CVCVC;144951
peido;nom;;CVVCV;144957
pelve;nom;;CVCCV;144999
pengo;nom;;CVCCV;145034
penny;nom;;CVCCV;145040
perer;ver;;CVCVC;145130
pesso;nom;;CVCCV;145310
pesto;adj;;CVCCV;145316
petar;ver;;CVCVC;145318
peter;nom;;CVCVC;145323
phase;nom;;CCVCV;145343
piaba;nom;;CVVCV;145351
pico1;nom;;CVCVN;145372
pièce;nom;;CVVCV;145375
pifão;nom;;CVCVV;145381
pilto;nom;;CVCCV;145398
pinas;nom;;CVCVC;145407
piras;nom;;CVCVC;145454
pitéu;nom;;CVCVV;145495
piton;nom;;CVCVC;145499
placê;nom;;CCVCV;145509
plaga;nom;;CCVCV;145512
plana;nom;;CCVCV;145518
pláse;nom;;CCVCV;145542
plate;nom;;CCVCV;145558
plays;nom;;CCVVC;145566
plein;nom;;CCVVC;145568
plomo;nom;;CCVCV;145585
plots;nom;;CCVCC;145586
plugs;nom;;CCVCC;145588
poara;nom;;CVVCV;145605
poché;nom;;CVCCV;145616
podrá;nom;;CVCCV;145636
poner;ver;;CVCVC;145761
ponjê;nom;;CVCCV;145763
ponto;gram;prp;CVCCV;145774
popas;nom;;CVCVC;145782
porcô;adj;;CVCCV;145793
pout-;nom;;CVVC-;145987
povo-;nom;;CVCV-;145989
preju;nom;;CCVCV;146181
prós-;nom;;CCVC-;146668
psico;gram;ec;CCVCV;146780
pufes;nom;;CVCVC;146835
pulps;nom;;CVCCC;146846
pumba;gram;in;CVCCV;146854
puta-;nom;;CVCV-;146889
pyatã;nom;;CVVCV;146904
quand;nom;;CVVCC;146936
quata;adj;;CVVCV;146968
queas;nom;;CVVVC;146979
quedê;nom;;CVVCV;146997
quele;nom;;CVVCV;147015
quese;nom;;CVVCV;147048
quest;nom;;CVVCC;147049
queto;adj;;CVVCV;147059
rabos;nom;;CVCVC;147121
raids;nom;;CVVCC;147177
raiom;nom;;CVVVC;147181
rajas;nom;;CVCVC;147187
rapid;nom;;CVCVC;147220
rá-rá;nom;;CV-CV;147231
razaó;nom;;CVCVV;147273
ready;nom;;CVVCV;147302
reaje;nom;;CVVCV;147311
rébus;nom;;CVCVC;147408
refer;ver;;CVCVC;147754
regit;nom;;CVCVC;147868
reían;nom;;CVVVC;147890
reios;nom;;CVVVC;147937
relar;ver;;CVCVC;147977
relha;nom;;CVCCV;148010
rengo;adj;;CVCCV;148104
rêves;nom;;CVCVC;148621
ribat;nom;;CVCVC;148679
richa;nom;;CVCCV;148687
rifão;nom;;CVCVV;148700
rings;nom;;CVCCC;148713
robre;nom;;CVCCV;148755
rocas;nom;;CVCVC;148763
roída;adj;;CVVCV;148789
rojar;ver;;CVCVC;148790
rolex;nom;;CVCVC;148794
ronca;nom;;CVCCV;148821
ro-so;nom;;CV-CV;148842
rosto;adv;;CVCCV;148843
rotos;adj;;CVCVC;148855
rouge;nom;;CVVCV;148871
roulé;nom;;CVVCV;148874
royal;nom;;CVVVC;148880
rufar;ver;;CVCVC;148903
runas;nom;;CVCVC;148916
rusky;nom;;CVCCV;148917
rythm;nom;;CVCCC;148927
saco-;nom;;CVCV-;149078
sacro;nom;;CVCCV;149098
saião;nom;;CVVVV;149128
saida;adj;;CVVCV;149131
salad;nom;;CVCVC;149139
salir;ver;;CVCVC;149173
salom;nom;;CVCVC;149176
salso;adj;;CVCCV;149184
santé;adj;;CVCCV;149246
santé;nom;;CVCCV;149247
sarin;nom;;CVCVC;149278
satin;nom;;CVCVC;149292
sediz;nom;;CVCVC;149364
según;nom;;CVCVC;149399
semum;nom;;CVCVC;149512
senac;nom;;CVCVC;149516
senas;nom;;CVCVC;149518
senhô;nom;;CVCCV;149525
senna;adj;;CVCCV;149531
señor;nom;;CVCVC;149532
senza;nom;;CVCCV;149568
sépia;nom;;CVCVV;149580
septo;adj;;CVCCV;149582
serán;nom;;CVCVC;149601
sermo;adj;;CVCCV;149625
seven;nom;;CVCVC;149670
shear;ver;;CCVVC;149694
shift;nom;;CCVCC;149698
shore;adj;;CCVCV;149703
silfo;nom;;CVCCV;149755
simon;nom;;CVCVC;149783
sings;nom;;CVCCC;149831
sioux;adj;;CVVVC;149859
sioux;nom;;CVVVC;149860
sismo;nom;;CVCCV;149864
skank;nom;;CCVCC;149889
slick;nom;;CCVCC;149904
smash;nom;;CCVCC;149908
soeur;nom;;CVVVC;150005
sofia;nom;;CVCVV;150007
solid;nom;;CVCVC;150056
sol-y;nom;;CVC-V;150078
songs;nom;;CVCCC;150095
soria;nom;;CVCVV;150128
soror;nom;;CVCVC;150132
souls;nom;;CVVCC;150159
sours;nom;;CVVCC;150161
souto;nom;;CVVCV;150164
speak;nom;;CCVVC;150176
spice;nom;;CCVCV;150185
spike;nom;;CCVCV;150186
squat;nom;;CCVVC;150198
sshhh;nom;;CCCCC;150200
stick;nom;;CCVCC;150221
stiff;nom;;CCVCC;150223
storm;nom;;CCVCC;150227
stubs;nom;;CCVCC;150246
stunt;nom;;CCVCC;150249
stupa;nom;;CCVCV;150250
subst;nom;;CVCCC;150381
suéco;nom;;CVVCV;150464
suelo;adj;;CVVCV;150466
sufis;nom;;CVCVC;150471
sundo;adj;;CVCCV;150547
supos;nom;;CVCVC;150716
swarm;nom;;CCVCC;150831
swell;nom;;CCVCC;150832
syrup;nom;;CVCVC;150837
table;nom;;CVCCV;150856
tação;adj;;CVCVV;150864
tacha;nom;;CVCCV;150865
tadas;adj;;CVCVC;150878
tagen;nom;;CVCVC;150888
taíra;nom;;CVVCV;150900
tálio;nom;;CVCVV;150917
tamen;nom;;CVCVC;150923
tanto;nom;;CVCCV;150944
tarco;nom;;CVCCV;150958
tardo;adj;;CVCCV;150961
tarte;nom;;CVCCV;150981
tatos;nom;;CVCVC;151000
tease;nom;;CVVCV;151032
tecos;nom;;CVCVC;151070
teddy;nom;;CVCCV;151073
tefal;nom;;CVCVC;151074
texel;nom;;CVCVC;151293
thank;nom;;CCVCC;151302
theón;nom;;CCVVC;151306
these;nom;;CCVCV;151309
third;nom;;CCVCC;151313
tíbia;adj;;CVCVV;151320
ticum;nom;;CVCVC;151326
timha;adj;;CVCCV;151354
tinga;nom;;CVCCV;151365
tokay;nom;;CVCVV;151450
tomás;nom;;CVCVC;151467
tools;nom;;CVVCC;151491
topoi;nom;;CVCVV;151504
toros;nom;;CVCVC;151536
tosta;nom;;CVCCV;151559
train;nom;;CCVVC;151638
tramo;nom;;CCVCV;151659
traós;nom;;CCVVC;151795
trilo;nom;;CCVCV;151941
trio-;nom;;CCVV-;151951
troar;ver;;CCVVC;151984
tromp;nom;;CCVCC;152007
tubas;nom;;CVCVC;152061
tucum;nom;;CVCVC;152067
tuneu;adj;;CVCVV;152091
tural;adj;;CVCVC;152106
twins;nom;;CCVCC;152145
uento;adj;;VVCCV;152154
ufana;adj;;VCVCV;152156
umdos;nom;;VCCVC;152208
úmero;nom;;VCVCV;152211
ungir;ver;;VCCVC;152225
unius;nom;;VCVVC;152246
upper;ver;;VCCVC;152270
urrar;ver;;VCCVC;152286
usode;nom;;VCVCV;152310
usted;nom;;VCCVC;152314
útimo;adj;;VCVCV;152334
úúúúú;nom;;VVVVV;152336
úvula;nom;;VCVCV;152338
vácuo;adj;;CVCVV;152353
vamos;adj;;CVCVC;152408
vamps;nom;;CVCCC;152411
vávuo;nom;;CVCVV;152468
veces;nom;;CVCVC;152476
veiga;nom;;CVVCV;152496
veins;nom;;CVVCC;152499
velar;adj;;CVCVC;152506
venga;adj;;CVCCV;152540
verbi;adv;;CVCCV;152556
verum;nom;;CVCVC;152606
vesão;nom;;CVCVV;152607
viade;nom;;CVVCV;152643
viale;nom;;CVVCV;152648
vigir;ver;;CVCVC;152726
viii-;adj;;CVVV-;152729
vilar;ver;;CVCVC;152730
virtù;nom;;CVCCV;152791
visco;nom;;CVCCV;152799
visgo;nom;;CVCCV;152805
visos;nom;;CVCVC;152822
vitrô;nom;;CVCCV;152844
vivía;nom;;CVCVV;152855
vivir;ver;;CVCVC;152856
vivre;nom;;CVCCV;152860
vizir;nom;;CVCVC;152861
vogas;nom;;CVCVC;152872
vonta;nom;;CVCCV;152910
voyer;nom;;CVVVC;152922
wanna;adj;;CVCCV;152944
wants;nom;;CVCCC;152945
wayuu;nom;;CVVVV;152952
wirft;nom;;CVCCC;152976
worse;nom;;CVCCV;152986
xales;nom;;CVCVC;152997
xaréu;nom;;CVCVV;152998
xingo;nom;;CVCCV;153010
yesca;adj;;VVCCV;153044
ÿkcal;nom;;VCCVC;153046
yulia;nom;;VVCVV;153053
zebus;nom;;CVCVC;153076
zipar;ver;;CVCVC;153097
zorra;adj;;CVCCV;153112
zurro;nom;;CVCCV;153118
thet;nom;;PCCVC;155587
a-10b;nom;;V-NNC;189499
a-17b;nom;;V-NNC;189502
a-22b;nom;;V-NNC;189507
a-29b;nom;;V-NNC;189511
a-61b;nom;;V-NNC;189518
aação;adj;;VVCVV;189530
abada;nom;;VCVCV;189550
abadá;nom;;VCVCV;189551
abase;nom;;VCVCV;189648
abebê;nom;;VCVCV;189704
abeça;nom;;VCVCV;189707
abeia;adj;;VCVVV;189710
abesh;nom;;VCVCC;189739
abete;nom;;VCVCV;189743
abixo;adj;;VCVCV;189764
abord;nom;;VCVCC;189822
abren;nom;;VCCVC;189935
abtém;nom;;VCCVC;190092
abusu;nom;;VCVCV;190115
acabó;nom;;VCVCV;190135
acabô;nom;;VCVCV;190136
acaçá;nom;;VCVCV;190139
açacu;nom;;VCVCV;190143
acaju;nom;;VCVCV;190159
acauã;nom;;VCVVV;190265
acess;nom;;VCVCC;190409
acete;nom;;VCVCV;190428
aceto;nom;;VCVCV;190431
acnes;nom;;VCCVC;190574
ácool;adj;;VCVVC;190721
acrer;ver;;VCCVC;190815
adejo;nom;;VCVCV;190991
ademã;nom;;VCVCV;190995
a-dia;nom;;V-CVV;191053
adins;nom;;VCVCC;191079
adros;nom;;VCCVC;191305
adufe;nom;;VCVCV;191322
adult;nom;;VCVCC;191335
advog;nom;;VCCVC;191380
aêneo;adj;;VVCVV;191399
áereo;adj;;VVCVV;191407
afars;nom;;VCVCC;191462
afear;ver;;VCVVC;191486
áfico;adj;;VCVCV;191546
a-fio;adv;;V-CVV;191580
afios;nom;;VCVVC;191581
afoxe;nom;;VCVCV;191687
aftor;nom;;VCCVC;191753
ágate;nom;;VCVCV;191821
agéis;nom;;VCVVC;191825
agora;adj;;VCVCV;191925
àgora;nom;;VCVCV;191927
agros;adj;;VCCVC;192083
aguas;nom;;VCVVC;192131
àguas;nom;;VCVVC;192132
aguja;nom;;VCVCV;192164
aguti;nom;;VCVCV;192173
ah-ah;gram;in+in;VC-VC;192175
ahhhh;nom;;VCCCC;192178
ailes;nom;;VVCVC;192198
aimer;ver;;VVCVC;192201
aimés;nom;;VVCVC;192202
ainda;nom;;VVCCV;192208
ainêi;nom;;VVCVV;192217
aipos;nom;;VVCVC;192225
aisso;gram;prp+spec;VVCCV;192238
aithó;nom;;VVCCV;192240
ajaba;nom;;VCVCV;192246
ajeum;nom;;VCVVC;192261
ajudr;nom;;VCVCC;192296
aktis;nom;;VCCVC;192332
alaor;nom;;VCVVC;192370
alãos;nom;;VCVVC;192371
albim;nom;;VCCVC;192429
albun;nom;;VCCVC;192438
albus;nom;;VCCVC;192442
aléas;adj;;VCVVC;192519
aleia;nom;;VCVVV;192559
alelo;nom;;VCVCV;192575
áleph;nom;;VCVCC;192603
aleta;nom;;VCVCV;192618
alfos;nom;;VCCVC;192656
algon;nom;;VCCVC;192678
algun;nom;;VCCVC;192693
algún;nom;;VCCVC;192694
alios;adj;;VCVVC;192817
alios;nom;;VCVVC;192818
alive;nom;;VCVCV;192852
alkês;adj;;VCCVC;192879
aller;ver;;VCCVC;192889
alles;nom;;VCCVC;192890
almus;nom;;VCCVC;192937
alnos;nom;;VCCVC;192940
aloha;adj;;VCVCV;192950
alors;nom;;VCVCC;192972
alqum;nom;;VCCVC;192989
alsas;nom;;VCCVC;192998
altum;nom;;VCCVC;193092
alume;nom;;VCVCV;193121
alvar;adj;;VCCVC;193142
amalá;nom;;VCVCV;193209
amant;nom;;VCVCC;193255
ambar;nom;;VCCVC;193354
âmbar;adj;;VCCVC;193355
ambém;nom;;VCCVC;193359
amels;nom;;VCVCC;193452
amina;adj;;VCVCV;193543
amior;nom;;VCVVC;193550
ammar;adj;;VCCVC;193561
amoed;nom;;VCVVC;193570
amors;nom;;VCVCC;193619
amos-;nom;;VCVC-;193630
amtes;nom;;VCCVC;193693
anada;nom;;VCVCV;193720
anais;adj;;VCVVC;193736
anata;nom;;VCVCV;193793
anauê;nom;;VCVVV;193797
ancha;adj;;VCCCV;193800
ancte;adv;;VCCCV;193818
andas;nom;;VCCVC;193841
ândia;nom;;VCCVV;193849
andon;nom;;VCCVC;193851
aneja;adj;;VCVCV;193874
angar;nom;;VCCVC;193915
anion;nom;;VCVVC;194049
anos-;nom;;VCVC-;194122
anoso;adj;;VCVCV;194134
anova;nom;;VCVCV;194146
antão;adj;;VCCVV;194172
antes;nom;;VCCVC;194239
àntes;nom;;VCCVC;194240
antig;nom;;VCCVC;194528
anton;nom;;VCCVC;194939
antor;nom;;VCCVC;194945
antos;nom;;VCCVC;194946
anuir;ver;;VCVVC;194990
anuns;nom;;VCVCC;195023
anura;nom;;VCVCV;195024
aobra;adj;;VVCCV;195035
aobre;nom;;VVCCV;195036
aoito;adj;;VVVCV;195044
aônio;adj;;VVCVV;195049
aordo;nom;;VVCCV;195054
aos73;nom;;VVCNN;195059
aosdo;adj;;VVCCV;195061
apart;nom;;VCVCC;195202
apfel;nom;;VCCVC;195391
ápico;nom;;VCVCV;195394
ápoca;nom;;VCVCV;195482
apóim;nom;;VCVVC;195519
apoós;nom;;VCVVC;195560
aprés;nom;;VCCVC;195717
aprox;nom;;VCCVC;195883
aptly;nom;;VCCCV;195925
aquém;gram;ec;VCVVC;195979
aqui;nom;;VCVVP;195985
aqule;nom;;VCVCV;196019
araça;nom;;VCVCV;196033
aratú;nom;;VCVCV;196071
arbre;nom;;VCCCV;196093
áreaa;nom;;VCVVV;196140
areão;nom;;VCVVV;196147
argós;nom;;VCCVC;196213
arián;nom;;VCVVC;196242
árias;adj;;VCVVC;196243
aroha;nom;;VCVCV;196335
arpéu;nom;;VCCVV;196347
arte7;nom;;VCCVN;196860
artio;nom;;VCCVV;196930
artur;adj;;VCCVC;196961
arubu;nom;;VCVCV;196969
às13h;nom;;VCNNC;196985
asked;nom;;VCCVC;197058
asrna;nom;;VCCCV;197104
asses;nom;;VCCVC;197238
assez;nom;;VCCVC;197263
assin;nom;;VCCVC;197284
assun;nom;;VCCVC;197449
atado;nom;;VCVCV;197535
ateia;adj;;VCVVV;197600
atena;adj;;VCVCV;197623
ateso;adj;;VCVCV;197719
atéum;nom;;VCVVC;197732
ático;adj;;VCVCV;197741
átmos;nom;;VCCVC;197831
atobá;nom;;VCVCV;197840
atóis;nom;;VCVVC;197845
atomo;nom;;VCVCV;197864
atómo;nom;;VCVCV;197865
átono;adj;;VCVCV;197872
ator-;nom;;VCVC-;197877
atora;nom;;VCVCV;197878
atoso;adj;;VCVCV;197909
atria;nom;;VCCVV;198033
atudy;nom;;VCVCV;198148
aúcar;nom;;VVCVC;198172
aucun;nom;;VVCVC;198175
audit;nom;;VVCVC;198194
aukre;nom;;VVCCV;198219
aulos;nom;;VVCVC;198226
aurea;adj;;VVCVV;198260
aureo;adj;;VVCVV;198262
aurir;ver;;VVCVC;198269
aurum;nom;;VVCVC;198275
aútes;nom;;VVCVC;198308
autom;nom;;VVCVC;198580
autro;nom;;VVCCV;198761
avara;adj;;VCVCV;198857
avaro;adj;;VCVCV;198864
aveso;nom;;VCVCV;198934
aviáo;nom;;VCVVV;198953
avila;nom;;VCVCV;198970
avita;adj;;VCVCV;199023
avium;nom;;VCVVC;199024
avoir;ver;;VCVVC;199050
awetu;nom;;VCVCV;199076
awoke;nom;;VCVCV;199077
axels;nom;;VCVCC;199081
áximo;nom;;VCVCV;199084
azada;adj;;VCVCV;199095
azado;adj;;VCVCV;199096
azeri;adj;;VCVCV;199120
ázimo;adj;;VCVCV;199126
azoto;nom;;VCVCV;199132
b-10c;nom;;C-NNC;199176
b-11c;nom;;C-NNC;199177
baana;nom;;CVVCV;199182
babbo;nom;;CVCCV;199202
bacio;nom;;CVCVV;199254
baços;adj;;CVCVC;199267
badin;nom;;CVCVC;199295
baeta;nom;;CVVCV;199298
bahts;nom;;CVCCC;199337
baixá;adj;;CVVCV;199369
bajar;adj;;CVCVC;199395
bajas;nom;;CVCVC;199398
baker;ver;;CVCVC;199408
balda;adj;;CVCCV;199455
balês;nom;;CVCVC;199484
balha;nom;;CVCCV;199487
banto;adj;;CVCCV;199675
banzo;adj;;CVCCV;199680
bar-a;nom;;CVC-V;199686
